# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Gülzow-Prüzen	53.81670	12.06670	DE	Deutschland	1517	
Gützkow	53.95000	13.41670	DE	Deutschland	3034	
Habichtswald	51.32793	9.33371	DE	Deutschland	5168	
Hagen im Bremischen	53.35595	8.64405	DE	Deutschland	10705	
Harth-Pöllnitz	50.77016	11.98104	DE	Deutschland	2622	
Harztor	51.55541	10.76712	DE	Deutschland	7306	
Haselbachtal	51.23828	14.03744	DE	Deutschland	3882	
Hauneck	50.81868	9.72787	DE	Deutschland	3070	
Haunetal	50.76441	9.67530	DE	Deutschland	2795	
Hausen b.Würzburg	49.93330	10.01670	DE	Deutschland	2520	
Havelsee	52.49290	12.46670	DE	Deutschland	3181	
Heideblick	51.81270	13.65510	DE	Deutschland	3514	
Heidesee	52.27500	13.76457	DE	Deutschland	7407	
Helbedündorf	51.35000	10.61670	DE	Deutschland	2113	
Hemau	49.03830	11.85220	DE	Deutschland	9408	
Henstedt-Ulzburg Municipality	53.78330	10.00000	DE	Deutschland	28325	
Hepberg	48.81780	11.46110	DE	Deutschland	3020	
Herrnhut	51.01670	14.75000	DE	Deutschland	5695	
Herschbach	50.58330	7.73333	DE	Deutschland	3018	
Herxheim bei Landau/ Pfalz	49.14140	8.22150	DE	Deutschland	11093	
Herzebrock-Clarholz	51.90000	8.21667	DE	Deutschland	16419	
Hitzhofen	48.85000	11.31670	DE	Deutschland	3017	
Hohe Börde	52.13960	11.44374	DE	Deutschland	18747	
Hohenahr	50.66473	8.49438	DE	Deutschland	4874	
Hohenberg-Krusemark	52.73330	11.96670	DE	Deutschland	1128	
Hohendubrau	51.24440	14.67130	DE	Deutschland	1837	
Hohenstein	48.34030	9.35987	DE	Deutschland	3788	
Hohenstein	50.19399	8.09675	DE	Deutschland	5829	
Hohenstein	51.53876	10.57291	DE	Deutschland	2012	
Hohenwart	48.60000	11.38330	DE	Deutschland	4903	
Hollern-Twielenfleth	53.60000	9.55000	DE	Deutschland	3269	
Holste	53.37228	8.85622	DE	Deutschland	1398	
Holzheim	48.62080	10.96670	DE	Deutschland	1141	
Hopsten	52.37610	7.60590	DE	Deutschland	7717	
Horb am Neckar	48.48890	8.67340	DE	Deutschland	25651	
Horka	51.30000	14.90000	DE	Deutschland	1562	
Horn-Bad Meinberg	51.87352	8.94768	DE	Deutschland	17320	
Hungen	50.47308	8.89961	DE	Deutschland	12754	
Huy	51.99835	11.02151	DE	Deutschland	6578	
Höhenland	52.71138	13.92216	DE	Deutschland	1053	
Hörselberg-Hainich	51.00771	10.46722	DE	Deutschland	5979	
Hünfelden	50.31529	8.15037	DE	Deutschland	9818	
Hünstetten	50.24121	8.18658	DE	Deutschland	10380	
Hünxe	51.65000	6.78333	DE	Deutschland	13611	
Hürtgenwald	50.71670	6.36667	DE	Deutschland	9196	
Hüttenberg	50.50957	8.56985	DE	Deutschland	10550	
Igling	48.06673	10.80525	DE	Deutschland	2531	
Ihlow	53.41020	7.40293	DE	Deutschland	12376	
Ilmtal-Weinstraße	51.05188	11.45584	DE	Deutschland	6169	
Insel Poel	53.99318	11.40364	DE	Deutschland	2507	
Issum	51.54500	6.44760	DE	Deutschland	12428	
Jerichow	52.50000	12.03330	DE	Deutschland	6571	
Jossgrund	50.16267	9.45784	DE	Deutschland	3407	
